

ponto;localizacao;data_instalacao;cota_terreno;latitude;longitude;latitude_decimal;longitude_decimal;situacao;utme;utmn;bacia;municipio;natureza;nome;subbacia;uf;uso_agua;data_perfuracao;metodo_perfuracao;perfurador;diametro_boca_tubo_milimetros;topo;base;tipo_penetracao;condicao;tipo_captacao;data_medicao;nivel_agua;vazao;nivel_bombeando;profundidade_inicial;profundidade_final;tipo_formacao;data_teste;tipo_teste_bombeamento;metodo_interpretacao;surgencia;unidade_de_bombeamento;nivel_dinamico;nivel_estatico;vazao_especifica;coeficiente_armazenamento;vazao_livre;permeabilidade;transmissividade;vazao_estabilizacao;tipo_bomba;data_analise;data_coleta;condutividade_eletrica;cor;odor;sabor;temperatura;turbidez;solidos_sedimentaveis;solidos_suspensos;aspecto_natural;
2900020682;FAZENDA BURITIS;2011-09-10;728,14;123804;452717;-12,634444;-45,454722;Poço RIMAS equipado c medidor automático de nível;450615;8603238;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 13;Rios São Francisco e Carinhanha;BA;Sem uso;2011-02-19;Percussao;GEODRIL;101,6000;0,00;101,00;Parcial;Livre;Única;2022-07-27;13,145;;N;0,00;101,00;Formacao Urucuia;2011-05-11;Rebaixamento;;N;Bomba submersa;16,75;12,20;2,677;;;;;12,18;;2011-05-11;2011-05-11;4,60;277,00;INODORA;BOM;26,7;28,9;;;;
2900020683;FAZENDA ESTÂNCIA;2011-09-08;773,58;124401;454445;-12,733611;-45,745833;Poço RIMAS equipado c medidor automático de nível;419033;8592202;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 08;Rios São Francisco e Carinhanha;BA;Sem uso;2011-01-08;Percussao jato dagua;GEODRIL;101,6000;0,00;64,00;Parcial;Livre;Única;2021-12-06;11,75;;N;0,00;64,00;Formacao Urucuia;2011-01-31;Rebaixamento;;N;Bomba submersa;15,00;8,20;1,909;;;;;12,98;;2011-02-01;2011-01-31;1,00;5,00;INODORA;BOM;25,9;2,96;;;;
2900020684;FAZENDA FLOR DA ESPERANÇA;2011-10-18;721,01;122555;451308;-12,431944;-45,218889;Poço RIMAS equipado c medidor automático de nível;476223;8625662;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 17;Rios São Francisco, Jacare e outros;BA;Sem uso;2011-04-09;Percussao;GEODRIL;101,6000;0,00;80,00;Parcial;Livre;Única;2022-07-27;51,48;;N;0,00;82,00;Formacao Urucuia;2011-04-18;Rebaixamento;;N;Bomba submersa;55,10;48,62;1,222;;;;;7,92;;2011-04-18;2011-04-18;7,20;1000,00;FERRO;BOM/FERRO;26,7;97;;;;
2900020685;FAZENDA GALHO DO FURTADO;2011-09-10;699,57;122833;452853;-12,475833;-45,481389;Poço RIMAS equipado c medidor automático de nível;447689;8620777;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 12;Rios São Francisco e Carinhanha;BA;Sem uso;2011-01-20;Percussao;GEODRIL;101,6000;0,00;72,00;Parcial;Livre;Única;2022-07-25;4,79;;N;0,00;72,00;Formacao Urucuia;2011-01-30;Rebaixamento;;N;Bomba submersa;30,90;3,90;0,356;;;;;9,6;;2011-02-01;2011-01-30;1,00;4,00;;;26,4;2,30;;;;
2900020686;FAZENDA PONTA PEDRA DO RIO;2012-04-17;585,82;121403;451746;-12,234167;-45,296111;Poço RIMAS equipado c medidor automático de nível;467794;8647530;Rio São Francisco;Barreiras;Poço de monitoramento;PM 16;Rios São Francisco, Grande  e outros;BA;Sem uso;2011-02-27;Percussao;GEODRIL;101,6000;0,00;70,00;Parcial;Livre;Única;2021-12-07;12,96;;N;0,00;72,00;Formacao Urucuia;2011-04-14;Rebaixamento;;N;Bomba submersa;22,40;12,00;1,421;;;;;14,774;;2011-04-18;2011-04-14;11,11;169,00;INODORA;BOM;27,2;15,70;;;;
2900020687;FAZENDA SANTO ÂNGELO (RODA VELHA);2011-09-07;867,05;124749;460532;-12,796944;-46,092222;Poço RIMAS equipado c medidor automático de nível;381456;8585065;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 03;Rios São Francisco, Jacare e outros;BA;Sem uso;2011-03-18;Percussao;GEODRIL;101,6000;0,00;131,00;Parcial;Livre;Única;2022-04-26;77,85;;N;0,00;131,00;Formacao Urucuia;2011-05-24;Rebaixamento;;N;Bomba submersa;74,96;72,55;3,423;;;;;8,25;;2011-05-25;2011-05-24;5,90;1630,00;FERRO;BOM/DOCE;25,5;162;;;;
2900020688;FAZENDA VEREDA NOVA;2010-10-17;702,69;125012;451821;-12,836667;-45,305833;Poço RIMAS equipado c medidor automático de nível;466814;8580900;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 19;Rios São Francisco, Jacare e outros;BA;Sem uso;2011-03-27;Percussao;GEODRIL;101,6000;0,00;90,00;Parcial;Livre;Única;2021-12-09;4,662;;N;0,00;91,00;Formacao Urucuia;2011-05-18;Rebaixamento;;N;Bomba submersa;15,40;3,86;1,072;;;;;12,37;;2011-05-20;2011-05-18;8,40;207,00;;;28,2;20,70;;;;
2900020689;FAZENDA CATARINENSE;2011-09-11;885,41;131714;460128;-13,287222;-46,024444;Poço RIMAS não equipado;389032;8530868;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 04;Rios São Francisco, Jacare e outros;BA;Sem uso;2011-03-01;Percussao;GEODRIL;101,6000;0,00;124,00;Parcial;Livre;Única;2022-06-08;62,957;;N;0,00;124,00;Formacao Urucuia;2011-05-23;Rebaixamento;;N;Bomba submersa;60,70;55,95;1,737;;;;;8,25;;2011-05-25;2011-05-23;70,00;396,00;INODORA;BOM;26,2;36,6;;;;
2900021796;FAZENDA IZETA;2011-08-19;743,22;120419;452913;-12,071944;-45,486944;Poço RIMAS equipado c medidor automático de nível;446994;8665448;Rio São Francisco;Barreiras;Poço de monitoramento;PM 21;Rios São Francisco, Grande  e outros;BA;Sem uso;2011-04-20;Percussao;GEODRIL;101,6000;0,00;82,00;Parcial;Livre;Única;2022-06-14;33,59;;N;0,00;82,00;Formacao Urucuia;2011-05-12;Rebaixamento;;N;Bomba submersa;40,10;28,32;0,885;;;;;10,42;;2019-01-30;2018-10-22;;;;;;;;;;
2900021797;LOTEAMENTO CAMPOS BELOS-RODA VELHA;2011-09-01;823,66;124445;455645;-12,745833;-45,945833;Poço RIMAS equipado c medidor automático de nível;397335;8590774;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 23;Rios São Francisco e Carinhanha;BA;Sem uso;2011-05-05;Percussao;GEODRIL;101,6000;0,00;83,00;Parcial;Livre;Única;2022-04-12;61,705;;N;0,00;83,00;Formacao Urucuia;2011-08-08;Rebaixamento;;N;Bomba submersa;70,05;58,36;0,645;;;;;7,542;;2011-08-09;2011-08-07;0,40;77,00;;;26,3;10,90;;;;
2900021798;FAZENDA CHAPARRAL;2014-11-20;813,91;123446;455628;-12,579444;-45,941111;Poço RIMAS equipado c medidor automático de nível;397771;8609184;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 24;Rios São Francisco e Carinhanha;BA;Sem uso;2011-05-07;Percussao;GEODRIL;101,6000;0,00;92,00;Parcial;Livre;Única;2022-02-23;33,36;;N;0,00;92,00;Formacao Urucuia;2011-08-09;Rebaixamento;;N;Bomba submersa;36,28;26,63;1,263;;;;;12,184;;2011-08-11;2011-08-09;1,40;46,00;;;26,6;6,25;;;;
