,0,1,2
184,83062,-24.3,-53.92
185,83064,-10.71083333,-48.40638888
186,83071,-26.55,-52.57
187,83072,-20.15,-43.4
188,83074,-23.53,-46.25
189,83075,-23.470981,-46.533559
190,83076,-11.00277777,-44.52499999
191,83077,-25.98,-49.68
192,83080,-25.33,-49.23
193,83081,-23.38,-46.63
194,83083,-20.02,-44.35
195,83084,-23.53,-46.63
196,83087,-22.2865,-43.045917
197,83088,-10.443072,-40.148244
198,83089,-22.920653,-42.83
199,83090,-10.44249999,-39.33083332
200,83096,-10.9525,-37.05444444
201,83097,-10.21388888,-36.84222221
202,83098,-10.15,-36.17
203,83111,-22.52,-44.1
204,83114,-22.84694444,-42.18555555
205,83160,-11.75,-49.07999999
206,83179,-11.084858,-43.138998
207,83182,-11.31138888,-41.85861111
208,83184,-11.547494,-41.151165
209,83186,-11.17277777,-40.53416666
210,83190,-11.66805554,-39.00194444
211,83192,-11.10138888,-38.52416666
212,83194,-11.48,-37.93
213,83195,-11.272334,-37.794973
214,83204,-23.42,-47.58
215,83214,-10.19166666,-54.9461111
216,83218,-12.58,-54.75
217,83221,-12.1961111,-38.96722221
218,83222,-12.67527777,-39.08972221
219,83223,-12.62,-38.67
220,83225,-12.53,-38.3
221,83226,-12.691233,-38.337536
222,83227,-12.88,-38.68
223,83228,-12.01527777,-48.54499999
224,83229,-13.00583333,-38.50583333
225,83230,-12.97,-38.5
226,83231,-12.55,-47.82999999
227,83235,-12.40222222,-46.43833333
228,83236,-12.15583333,-45.00833333
229,83238,-12.97,-38.5
230,83242,-12.55777777,-41.38888888
231,83244,-12.52416666,-40.29972221
232,83247,-12.43,-38.97
233,83249,-12.1486111,-38.42527777
234,83257,-13.45,-49.17
235,83262,-13.03,-58.28
236,83264,-12.288562,-55.294071
237,83265,-13.22,-56.27
238,83267,-13.453982,-56.677323
239,83270,-13.47083332,-52.2711111
240,83271,-22.7,-47.3
241,83276,-11.42,-58.73
242,83286,-13.33249999,-44.61749999
243,83288,-13.25111111,-43.40527777
244,83292,-13.81277777,-41.29972221
245,83295,-13.52777777,-40.11972221
246,83297,-12.97,-39.27
247,83302,-14.25,-59.25
248,83309,-14.40611111,-56.44694444
249,83310,-14.82,-56.43
250,83319,-14.697917,-52.350226
251,83332,-14.08916666,-46.36666666
252,83334,-14.949727,-46.235795
253,83337,-14.73,-43.97
254,83338,-14.91222222,-42.80861111
255,83339,-14.07277777,-42.48722221
256,83340,-14.37,-44.45
257,83344,-14.88638888,-40.80138888
258,83347,-14.8,-39.3
259,83348,-14.8,-39.07
260,83350,-15.215101,-48.985332
261,83352,-15.03,-60.05
262,83358,-15.82749999,-54.39555555
263,83360,-15.6,-56.1
264,83361,-15.61999999,-56.10888888
265,83363,-15.82305554,-55.41888888
266,83364,-15.7761111,-56.07194443
267,83365,-15.63,-53.83
268,83367,-15.53,-53.08
269,83368,-15.9025,-52.24527777
270,83373,-15.94638888,-47.88416666
271,83374,-15.93972221,-50.14194444
272,83376,-15.85472222,-48.96611111
273,83377,-15.78972221,-47.92583332
274,83379,-15.54916666,-47.33888888
275,83380,-15.78,-47.93
276,83383,-15.628447,-46.422556
277,83384,-15.91527777,-46.10722222
278,83385,-15.95,-44.87
279,83386,-15.448054,-44.366321
280,83387,-15.75,-43.02999999
281,83388,-15.160374,-42.866344
282,83389,-15.086015,-44.016223
283,83390,-15.1,-44.1
284,83393,-16.00944444,-41.2811111
285,83394,-15.25,-45.27
286,83395,-15.802909,-43.297092
287,83398,-15.67333332,-38.96111111
288,83401,-15.5,-45.17
289,83405,-16.049639,-57.680826
290,83408,-14.29749999,-43.77138888
291,83409,-16.35,-53.93
292,83410,-16.462416,-54.580143
293,83412,-17.32,-53.2
294,83422,-16.47,-49.28
295,83423,-16.67305554,-49.26388888
296,83427,-16.27,-47.93
297,83428,-16.36638888,-46.88944444
298,83432,-16.57,-45.93
299,83435,-16.37,-45.07
300,83437,-16.68638888,-43.84388888
301,83438,-17.1,-43.8
302,83439,-16.58,-42.9
303,83440,-17.23,-42.58
304,83441,-16.154862,-42.284921
305,83442,-16.84888888,-42.06083333
306,83444,-16.43,-41.02
307,83446,-16.58081,-39.783182
308,83452,-16.775057,-43.667085
309,83464,-17.9236111,-51.71749999
310,83467,-17.57,-52.55
311,83470,-17.78527777,-50.96472222
312,83479,-17.24416666,-46.88166666
313,83481,-17.74027777,-46.17694443
314,83482,-18.63,-48.18
315,83483,-17.34916666,-44.92166666
316,83485,-17.533008,-43.012091
317,83488,-17.85972222,-42.85277777
318,83490,-18.02,-41.02
319,83492,-17.86027777,-41.5075
320,83495,-18.12,-40.5
321,83498,-17.73944444,-39.25861111
322,83500,-17.798812,-40.249925
323,83501,-17.93,-40.28
324,83512,-18.5,-54.76999999
325,83513,-18.9886111,-56.62277777
326,83514,-18.7261111,-49.56222222
327,83521,-18.952916,-49.525072
328,83522,-17.72444443,-48.17194443
329,83523,-18.40972222,-49.19194444
330,83524,-18.87,-48.87
331,83526,-18.17027777,-47.95805555
332,83527,-18.917052,-48.255676
333,83531,-18.51972221,-46.43916666
334,83533,-19.71944443,-45.36749999
335,83536,-18.74749999,-44.45472222
336,83538,-18.2386111,-43.61694443
337,83539,-18.95,-47
338,83541,-18.42,-42.78
339,83542,-18.77,-42.93
340,83543,-18.842608,-41.90357
341,83546,-18.365694,-40.840656
342,83547,-18.68,-40.42
343,83548,-18.6,-39.73
344,83549,-18.12,-39.47
345,83550,-18.71388888,-39.8486111
346,83552,-19.00461,-57.672338
347,83555,-19.02,-40.57
348,83557,-18.53722221,-40.27222221
349,83559,-19.42,-54.58
350,83565,-19.66361111,-51.19138888
351,83570,-19.228937,-45.001336
352,83574,-20.034803,-48.930435
353,83577,-19.73722221,-47.94972221
354,83578,-20.02,-44.35
355,83579,-19.60555555,-46.94972221
356,83580,-19.93,-43.93
357,83581,-19.885422,-44.416889
358,83582,-20.0311111,-46.00888888
359,83584,-19.9,-43.67
360,83585,-19.68,-44.77
361,83586,-19.48454,-44.173798
362,83587,-19.93444444,-43.95222222
363,83589,-19.02027777,-43.43388888
364,83590,-19.62,-43.22
365,83591,-19.82388888,-43.14416666
366,83592,-19.73583333,-42.13722221
367,83593,-19.52,-42.62
368,83594,-19.498382,-42.541609
369,83595,-19.494872,-41.077647
370,83596,-19.40722222,-40.53972221
371,83597,-19.416256,-40.073235
372,83602,-19.9,-44.1
373,83605,-19.93,-43.93
374,83608,-20.47,-55.8
375,83609,-20.201081,-50.920372
376,83611,-20.447252,-54.722641
377,83613,-19.5,-42.63
378,83615,-22.45,-52.97
379,83618,-20.794867,-51.713519
380,83620,-20.63,-51.1
381,83621,-20.91999999,-51.37999999
382,83623,-20.43972221,-49.9836111
383,83625,-20.55,-48.57
384,83626,-20.72,-48.55
385,83627,-20.95,-48.48
386,83629,-19.992565,-47.76581
387,83630,-20.58444444,-47.38249999
388,83631,-20.909923,-47.114243
389,83632,-20.01666666,-44.08472221
390,83635,-20.17333332,-44.87472221
391,83636,-21.03,-44.78
392,83637,-20.699773,-44.819903
393,83638,-20.5,-43.7
394,83639,-20.526119,-41.90913
395,83640,-20.35,-43.67
396,83641,-20.38,-43.5
397,83642,-20.7625,-42.86388888
398,83643,-20.38,-42.87
399,83645,-20.75055555,-41.48888888
400,83646,-20.85,-41.1
401,83647,-19.936468,-40.592526
402,83648,-20.31583333,-40.31694443
403,83651,-23.48,-47.45
404,83653,-20.27,-42.05
405,83654,-21.72,-57.88
406,83657,-21.32,-46.37
407,83659,-22.23,-54.98
408,83660,-23.05,-43.6
409,83661,-23.15,-50.6
410,83664,-21.17,-48.9
411,83665,-21.43,-48.82
412,83666,-21.78,-48.17
413,83667,-21.13,-47.98
414,83668,-21.18,-47.72
415,83669,-21.46111111,-47.57944443
416,83670,-21.67,-47.5
417,83672,-21.2,-50.43
418,83674,-21.669223,-49.732678
419,83676,-21.12222221,-48.94694444
420,83678,-21.25,-48.3
421,83679,-21.18,-47.8
422,83680,-21.47,-47
423,83681,-21.918139,-46.382977
424,83682,-21.37,-46.53
425,83683,-21.68138888,-45.94083333
426,83684,-21.7,-45.25
427,83685,-21.85,-45.3
428,83686,-21.989629,-44.938583
429,83687,-21.2261111,-44.97972221
430,83688,-21.3,-44.27
431,83689,-21.23972221,-43.78138888
432,83690,-21.45,-43.55
433,83691,-21.12,-42.95
434,83692,-21.76999999,-43.36444444
435,83693,-21.53,-42.63
436,83694,-21.13,-42.33
437,83695,-21.20444444,-41.90555555
438,83696,-21.96805554,-42.00305555
439,83697,-21.62,-41.77
440,83698,-21.74249999,-41.33277777
441,83699,-21.3,-40.98
442,83701,-22.1,-56.53
443,83702,-22.5525,-55.71638888
444,83704,-22.300371,-53.822894
445,83705,-22.73,-45.58
446,83706,-22.97,-45.48
447,83707,-22.92,-45.5
448,83709,-22.6,-45.17
449,83710,-22.72,-44.53
450,83711,-22.6,-44.47
451,83712,-22.7,-44.32
452,83713,-22.63,-44.65
453,83714,-22.75027777,-45.60388888
454,83715,-23.6,-46.93
455,83716,-22.119874,-51.408624
456,83717,-22.65,-50.41999999
457,83718,-22.02222221,-42.36444444
458,83719,-22.98,-42.03
459,83720,-22.71999999,-47.62999999
460,83723,-22.28,-48.57
461,83724,-22.87,-48.45
462,83725,-22.27,-48.12
463,83726,-21.98027777,-47.88388888
464,83727,-22.62,-47.53
465,83728,-22.57,-47.42
466,83729,-22.9,-47.08
467,83730,-22.68,-46.72
468,83731,-22.17,-46.73
469,83732,-22.28,-46.37
470,83733,-22.33,-45.08
471,83734,-22.57,-44.95
472,83735,-22.42,-45.45
473,83736,-22.12638888,-45.04333333
474,83737,-22.38277777,-44.96694443
475,83738,-22.45111111,-44.44472221
476,83739,-22.48,-44.43
