,Data Medicao,"PRECIPITACAO TOTAL, DIARIO(mm)","TEMPERATURA MAXIMA, DIARIA(°C)","TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)","TEMPERATURA MINIMA, DIARIA(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA(%)",Unnamed: 7
0,1975-08-03,,,,,,,
1,1975-08-04,,,,,,,
2,1975-08-05,,,,,,,
3,1975-08-06,,,,,,,
4,1975-08-07,,,,,,,
5,1975-08-08,,,,,,,
6,1975-08-09,,,,,,,
7,1975-08-10,,,,,,,
8,1975-08-11,,,,,,,
9,1975-08-12,,,,,,,
10,1975-08-13,,,,,,,
11,1975-08-14,,,,,,,
12,1975-08-15,,,,,,,
13,1975-08-16,,,,,,,
14,1975-08-17,,,,,,,
15,1975-08-18,,,,,,,
16,1975-08-19,,,,,,,
17,1975-08-20,,,,,,,
18,1975-08-21,,,,,,,
19,1975-08-22,,,,,,,
20,1975-08-23,,,,,,,
21,1975-08-24,,,,,,,
22,1975-08-25,,,,,,,
23,1975-08-26,,,,,,,
24,1975-08-27,,,,,,,
25,1975-08-28,,,,,,,
26,1975-08-29,,,,,,,
27,1975-08-30,,,,,,,
28,1975-08-31,,,,,,,
29,1975-09-01,,,,,,,
30,1975-09-02,,,,,,,
31,1975-09-03,,,,,,,
32,1975-09-04,,,,,,,
33,1975-09-05,,,,,,,
34,1975-09-06,,,,,,,
35,1975-09-07,,,,,,,
36,1975-09-08,,,,,,,
37,1975-09-09,,,,,,,
38,1975-09-10,,,,,,,
39,1975-09-11,,,,,,,
40,1975-09-12,,,,,,,
41,1975-09-13,,,,,,,
42,1975-09-14,,,,,,,
43,1975-09-15,,,,,,,
44,1975-09-16,,,,,,,
45,1975-09-17,,,,,,,
46,1975-09-18,,,,,,,
47,1975-09-19,,,,,,,
48,1975-09-20,,,,,,,
49,1975-09-21,,,,,,,
50,1975-09-22,,,,,,,
51,1975-09-23,,,,,,,
52,1975-09-24,,,,,,,
53,1975-09-25,,,,,,,
54,1975-09-26,,,,,,,
55,1975-09-27,,,,,,,
56,1975-09-28,,,,,,,
57,1975-09-29,,,,,,,
58,1975-09-30,,,,,,,
59,1975-10-01,,,,,,,
60,1975-10-02,,,,,,,
61,1975-10-03,,,,,,,
62,1975-10-04,,,,,,,
63,1975-10-05,,,,,,,
64,1975-10-06,,,,,,,
65,1975-10-07,,,,,,,
