,Data Medicao,"PRECIPITACAO TOTAL, DIARIO(mm)","TEMPERATURA MAXIMA, DIARIA(°C)","TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)","TEMPERATURA MINIMA, DIARIA(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA(%)",Unnamed: 7
47,1961-02-17,2.2,29.9,23.62,18.8,80.5,69.0,
48,1961-02-18,8.2,27.9,23.66,18.6,80.0,71.0,
49,1961-02-19,26.0,28.9,23.38,19.2,90.0,81.0,
50,1961-02-20,29.4,28.9,22.3,18.6,90.5,85.0,
51,1961-02-21,21.8,25.7,21.66,18.4,93.75,91.0,
52,1961-02-22,23.2,28.5,22.9,18.6,88.25,83.0,
53,1961-02-23,9.3,30.9,23.9,17.6,80.75,67.0,
54,1961-02-24,0.0,33.3,25.9,17.8,67.0,54.0,
55,1961-02-25,0.0,33.1,25.86,20.0,74.0,61.0,
56,1961-02-26,1.4,33.1,25.38,18.0,73.0,56.0,
57,1961-02-27,2.6,30.9,24.18,18.0,75.25,59.0,
58,1961-02-28,0.0,31.9,24.3,18.4,72.5,60.0,
59,1961-03-01,1.1,30.1,23.78,18.8,82.0,72.0,
60,1961-03-02,0.0,31.9,24.14,18.8,76.25,58.0,
61,1961-03-03,0.0,31.5,25.54,19.2,73.25,60.0,
62,1961-03-04,0.0,30.1,23.5,18.8,88.25,70.0,
63,1961-03-05,18.8,27.7,23.06,17.6,86.25,79.0,
64,1961-03-06,1.8,31.3,24.46,19.4,80.0,61.0,
65,1961-03-07,22.0,30.3,24.74,18.8,80.0,64.0,
66,1961-03-08,0.0,32.5,25.94,20.4,74.25,62.0,
67,1961-03-09,0.0,33.7,25.74,19.2,72.0,52.0,
68,1961-03-10,0.5,33.1,25.86,19.8,69.25,60.0,
69,1961-03-11,7.4,32.1,24.38,18.6,76.75,62.0,
70,1961-03-12,0.0,30.9,24.62,19.4,80.25,64.0,
71,1961-03-13,6.8,30.3,24.22,18.4,81.25,68.0,
72,1961-03-14,4.0,30.1,23.62,19.0,83.0,69.0,
73,1961-03-15,3.8,28.5,23.34,19.0,82.75,80.0,
74,1961-03-16,0.0,29.7,23.66,18.4,81.5,75.0,
75,1961-03-17,0.0,29.9,24.1,18.8,79.75,65.0,
76,1961-03-18,0.0,33.1,24.98,18.2,76.5,62.0,
77,1961-03-19,0.0,28.9,23.18,19.4,85.25,76.0,
78,1961-03-20,10.1,30.9,23.82,17.2,68.5,46.0,
79,1961-03-21,0.0,28.9,24.1,19.4,83.5,75.0,
80,1961-03-22,3.7,32.9,25.66,19.4,62.5,44.0,
81,1961-03-23,0.0,31.5,24.94,21.2,64.75,42.0,
82,1961-03-24,0.0,30.1,25.22,20.8,60.75,53.0,
83,1961-03-25,0.0,31.5,25.14,19.8,62.75,44.0,
84,1961-03-26,0.0,32.3,25.46,19.2,67.0,49.0,
85,1961-03-27,0.0,32.9,25.9,19.4,65.0,49.0,
86,1961-03-28,0.0,30.9,24.3,19.4,85.0,75.0,
87,1961-03-29,7.4,31.5,25.38,19.8,64.0,48.0,
88,1961-03-30,0.0,30.9,24.26,18.4,62.25,47.0,
89,1961-03-31,0.0,30.9,24.26,19.0,63.75,52.0,
90,1961-04-01,0.0,32.5,25.78,20.4,61.25,47.0,
91,1961-04-02,0.0,30.9,24.78,19.8,70.25,53.0,
92,1961-04-03,0.0,32.3,24.94,18.6,75.75,59.0,
93,1961-04-04,0.0,33.5,25.86,19.4,71.75,53.0,
94,1961-04-05,0.0,32.7,26.14,19.6,70.75,52.0,
95,1961-04-06,0.0,33.5,25.26,18.8,65.75,42.0,
96,1961-04-07,0.0,33.5,25.7,18.0,55.25,36.0,
97,1961-04-08,0.0,33.7,25.86,20.4,57.0,42.0,
98,1961-04-09,0.0,33.9,26.22,19.2,60.5,39.0,
99,1961-04-10,0.0,32.7,25.54,21.0,71.75,52.0,
100,1961-04-11,0.0,31.9,24.78,19.0,70.5,64.0,
101,1961-04-12,3.1,32.9,25.06,18.6,69.0,54.0,
102,1961-04-13,3.5,33.3,25.54,18.6,57.5,38.0,
103,1961-04-14,0.0,33.7,25.62,18.0,58.0,38.0,
104,1961-04-15,0.0,32.7,26.06,19.0,62.75,51.0,
105,1961-04-16,0.0,32.3,25.78,20.4,63.0,48.0,
106,1961-04-17,0.0,31.5,24.46,18.8,60.0,42.0,
107,1961-04-18,0.0,33.1,25.62,19.4,61.0,38.0,
108,1961-04-19,0.0,34.1,25.5,17.0,57.25,37.0,
109,1961-04-20,0.0,34.1,26.34,18.6,58.0,45.0,
110,1961-04-21,0.0,30.5,25.66,20.2,70.75,65.0,
111,1961-04-22,10.1,31.9,24.58,20.0,76.0,59.0,
112,1961-04-23,6.6,32.3,25.3,20.6,77.25,60.0,
113,1961-04-24,0.0,33.3,25.78,19.0,65.0,46.0,
114,1961-04-25,0.0,32.5,24.86,19.6,72.25,55.0,
115,1961-04-26,0.0,30.9,24.74,19.6,82.0,76.0,
116,1961-04-27,1.3,31.4,24.68,18.8,76.0,60.0,
117,1961-04-28,0.0,30.5,24.1,19.8,81.25,65.0,
118,1961-04-29,0.0,30.9,23.98,19.8,79.5,58.0,
119,1961-04-30,18.6,25.9,22.34,19.6,89.0,81.0,
120,1961-05-01,0.0,31.7,24.34,18.2,74.75,60.0,
121,1961-05-02,2.3,30.9,24.78,20.2,67.5,56.0,
122,1961-05-03,0.0,33.3,26.06,20.8,64.25,49.0,
123,1961-05-04,0.0,30.9,25.14,20.4,72.5,62.0,
124,1961-05-05,0.0,31.7,24.82,20.2,72.75,58.0,
125,1961-05-06,0.0,32.1,25.22,18.6,71.5,68.0,
126,1961-05-07,0.0,33.7,25.82,20.4,67.0,45.0,
127,1961-05-08,3.5,32.5,25.94,20.2,73.25,61.0,
128,1961-05-09,0.0,32.3,25.46,19.4,68.5,56.0,
129,1961-05-10,0.0,32.7,25.3,18.0,59.25,43.0,
130,1961-05-11,0.0,30.7,24.06,17.8,61.0,45.0,
131,1961-05-12,0.0,31.3,24.06,18.0,54.5,36.0,
132,1961-05-13,0.0,31.9,23.94,17.0,55.25,36.0,
133,1961-05-14,0.0,31.7,23.78,18.0,60.5,39.0,
134,1961-05-15,0.0,31.9,24.5,18.2,61.25,42.0,
135,1961-05-16,0.0,31.9,24.58,18.8,59.5,40.0,
136,1961-05-17,0.0,32.7,23.9,17.6,62.0,41.0,
137,1961-05-18,0.0,33.5,24.98,17.0,54.75,39.0,
138,1961-05-19,0.0,34.1,25.14,17.4,55.5,37.0,
139,1961-05-20,0.0,34.7,25.46,16.4,54.75,36.0,
140,1961-05-21,0.0,34.5,26.02,17.8,53.0,32.0,
141,1961-05-22,0.0,32.9,25.22,18.4,57.25,39.0,
142,1961-05-23,0.0,31.3,24.78,19.2,61.25,44.0,
143,1961-05-24,0.0,31.1,23.74,18.4,54.5,40.0,
144,1961-05-25,0.0,29.5,22.42,17.0,61.75,45.0,
145,1961-05-26,0.0,30.5,22.74,15.8,63.25,42.0,
146,1961-05-27,0.0,30.9,24.22,17.0,57.25,45.0,
147,1961-05-28,0.0,30.9,24.18,19.8,60.5,44.0,
148,1961-05-29,0.0,32.1,24.58,17.8,54.25,38.0,
149,1961-05-30,0.0,31.9,24.94,18.4,48.25,35.0,
150,1961-05-31,0.0,31.7,23.46,16.8,52.0,35.0,
151,1961-06-01,0.0,32.1,23.42,16.4,52.25,36.0,
152,1961-06-02,0.0,31.7,24.18,19.4,57.75,38.0,
153,1961-06-03,0.0,31.5,24.02,17.8,57.75,41.0,
154,1961-06-04,0.0,30.7,24.02,18.4,59.5,46.0,
155,1961-06-05,0.0,30.9,24.06,18.4,54.0,39.0,
156,1961-06-06,0.0,31.3,23.7,17.0,48.75,34.0,
157,1961-06-07,0.0,30.9,23.74,18.8,48.0,36.0,
158,1961-06-08,0.0,31.1,23.5,17.0,49.5,33.0,
159,1961-06-09,0.0,32.3,23.82,17.4,53.25,38.0,
160,1961-06-10,0.0,32.3,23.66,18.0,56.25,38.0,
161,1961-06-11,0.0,32.1,24.18,17.6,56.5,42.0,
162,1961-06-12,0.0,31.9,24.82,19.8,62.25,47.0,
163,1961-06-13,0.3,32.3,24.42,20.0,70.0,55.0,
164,1961-06-14,0.0,33.5,25.58,19.0,52.75,34.0,
165,1961-06-15,0.0,33.3,25.66,19.0,47.0,30.0,
166,1961-06-16,0.0,32.7,24.74,18.4,50.5,34.0,
167,1961-06-17,0.0,31.1,23.74,17.6,49.5,33.0,
168,1961-06-18,0.0,28.5,22.58,17.0,61.25,43.0,
169,1961-06-19,0.0,27.5,21.66,19.0,71.25,55.0,
170,1961-06-20,0.0,29.1,22.7,17.8,56.75,41.0,
171,1961-06-21,0.0,30.5,23.18,16.8,50.25,36.0,
172,1961-06-22,0.0,31.7,22.78,14.8,48.0,31.0,
173,1961-06-23,0.0,30.5,23.38,15.4,41.25,31.0,
174,1961-06-24,0.0,30.5,23.14,15.8,51.25,34.0,
175,1961-06-25,0.0,29.7,22.54,18.4,62.0,41.0,
176,1961-06-26,0.0,27.9,21.78,17.4,63.75,49.0,
177,1961-06-27,0.0,29.7,22.7,15.2,58.25,44.0,
178,1961-06-28,0.0,29.9,23.1,17.6,58.25,43.0,
179,1961-06-29,0.0,30.3,23.5,17.6,53.5,42.0,
180,1961-06-30,0.0,30.1,22.42,16.2,49.0,37.0,
181,1961-07-01,0.0,29.9,22.62,17.0,58.75,45.0,
182,1961-07-02,0.0,29.5,22.54,17.6,53.75,39.0,
183,1961-07-03,0.0,28.9,22.34,18.4,58.0,37.0,
184,1961-07-04,0.0,29.5,22.1,15.6,55.75,34.0,
185,1961-07-05,0.0,30.1,22.02,15.8,54.0,38.0,
186,1961-07-06,0.0,29.5,21.54,15.8,48.0,30.0,
187,1961-07-07,0.0,30.1,22.34,15.8,48.0,29.0,
188,1961-07-08,0.0,32.3,23.14,17.8,42.75,24.0,
189,1961-07-09,0.0,32.9,23.22,16.2,41.0,24.0,
190,1961-07-10,0.0,33.1,23.66,15.6,38.75,24.0,
191,1961-07-11,0.0,31.5,23.42,17.0,41.25,24.0,
192,1961-07-12,0.0,29.9,22.42,16.6,50.75,29.0,
193,1961-07-13,0.0,28.9,21.18,14.6,51.0,28.0,
194,1961-07-14,0.0,27.9,20.66,14.0,51.75,34.0,
195,1961-07-15,0.0,29.7,22.18,14.2,48.0,35.0,
196,1961-07-16,0.0,31.1,23.18,16.0,46.25,32.0,
197,1961-07-17,0.0,31.7,23.98,17.8,43.25,28.0,
198,1961-07-18,0.0,30.9,23.26,18.4,41.75,29.0,
199,1961-07-19,0.0,31.3,23.38,16.2,42.75,31.0,
200,1961-07-20,0.0,30.3,23.38,17.0,44.5,32.0,
201,1961-07-21,0.0,30.9,22.74,16.6,45.25,32.0,
202,1961-07-22,0.0,30.1,22.9,17.8,51.25,34.0,
203,1961-07-23,0.0,30.1,22.7,17.0,42.25,28.0,
204,1961-07-24,0.0,30.5,23.38,16.0,39.0,29.0,
205,1961-07-25,0.0,33.1,24.14,17.6,45.75,29.0,
206,1961-07-26,0.0,31.9,24.14,17.8,46.0,31.0,
207,1961-07-27,0.0,31.3,24.26,17.8,42.25,31.0,
208,1961-07-28,0.0,30.1,23.14,16.2,45.0,33.0,
209,1961-07-29,0.0,30.5,22.58,15.4,46.5,34.0,
210,1961-07-30,0.0,30.1,23.06,18.0,47.75,32.0,
211,1961-07-31,0.0,30.5,22.9,17.4,46.75,30.0,
212,1961-08-01,0.0,30.9,23.46,18.4,45.5,31.0,
213,1961-08-02,0.0,30.1,22.38,16.2,43.0,31.0,
214,1961-08-03,0.0,30.5,22.42,16.4,44.5,31.0,
215,1961-08-04,0.0,29.3,22.66,16.0,44.5,31.0,
216,1961-08-05,,30.5,22.66,15.4,46.5,28.0,
217,1961-08-06,0.0,30.1,22.34,16.8,48.5,33.0,
218,1961-08-07,0.0,30.9,22.14,14.4,46.5,29.0,
219,1961-08-08,0.0,29.9,21.86,14.6,46.5,32.0,
220,1961-08-09,0.0,29.9,21.98,16.0,47.0,34.0,
221,1961-08-10,0.0,30.5,23.26,16.4,45.0,32.0,
222,1961-08-11,0.0,30.3,22.7,16.8,46.25,32.0,
223,1961-08-12,0.0,30.7,22.98,16.4,44.75,30.0,
224,1961-08-13,0.0,30.9,22.62,15.2,40.0,26.0,
225,1961-08-14,0.0,29.7,22.94,15.8,47.5,36.0,
226,1961-08-15,0.0,30.9,23.7,17.0,45.5,32.0,
227,1961-08-16,0.0,31.5,23.86,19.2,44.25,31.0,
228,1961-08-17,0.0,33.3,23.9,14.8,42.5,26.0,
229,1961-08-18,0.0,32.7,24.62,19.2,38.5,23.0,
230,1961-08-19,0.0,32.9,23.78,17.0,39.0,26.0,
231,1961-08-20,0.0,32.5,24.06,17.6,45.75,29.0,
232,1961-08-21,0.0,34.7,25.02,19.6,39.75,25.0,
233,1961-08-22,0.0,33.5,26.5,19.0,35.0,29.0,
234,1961-08-23,0.0,34.5,26.58,21.0,37.75,29.0,
235,1961-08-24,0.0,33.9,26.42,20.8,37.5,29.0,
236,1961-08-25,0.0,34.1,25.78,19.8,38.5,24.0,
237,1961-08-26,0.0,36.9,27.34,20.2,36.75,23.0,
238,1961-08-27,0.0,35.5,27.46,20.8,39.0,29.0,
239,1961-08-28,0.0,34.7,26.18,20.0,37.5,25.0,
240,1961-08-29,0.0,32.7,25.34,20.0,35.5,28.0,
241,1961-08-30,0.0,33.1,25.62,20.8,39.25,29.0,
242,1961-08-31,0.0,34.3,25.46,19.2,38.5,26.0,
243,1961-09-01,0.0,35.1,27.3,21.4,39.5,27.0,
244,1961-09-02,0.0,34.1,26.46,20.8,44.0,29.0,
245,1961-09-03,0.0,34.7,26.82,21.2,37.75,23.0,
246,1961-09-04,0.0,34.3,26.58,20.8,38.5,25.0,
247,1961-09-05,0.0,36.1,27.26,21.0,36.25,24.0,
248,1961-09-06,0.0,36.9,27.18,19.6,37.75,23.0,
249,1961-09-07,0.0,37.5,28.26,20.2,34.0,21.0,
250,1961-09-08,0.0,36.1,27.82,20.8,36.75,25.0,
251,1961-09-09,0.0,34.9,25.94,19.4,39.5,26.0,
252,1961-09-10,0.0,35.1,27.1,21.0,36.5,25.0,
253,1961-09-11,0.0,36.5,27.7,19.0,31.0,24.0,
254,1961-09-12,0.0,37.1,28.38,22.0,30.25,22.0,
255,1961-09-13,0.0,37.1,28.46,19.6,28.0,20.0,
256,1961-09-14,0.0,36.5,28.5,21.4,27.25,20.0,
257,1961-09-15,0.0,36.7,28.82,22.0,32.25,22.0,
258,1961-09-16,0.0,34.3,26.86,21.2,44.75,33.0,
259,1961-09-17,0.0,36.1,28.18,20.4,38.0,29.0,
260,1961-09-18,0.0,37.1,28.34,21.8,40.75,28.0,
261,1961-09-19,0.0,37.3,28.42,21.2,37.25,28.0,
262,1961-09-20,0.0,36.5,28.34,21.8,35.25,24.0,
263,1961-09-21,0.0,37.3,28.58,22.4,36.75,25.0,
264,1961-09-22,0.0,36.9,29.14,20.6,31.25,23.0,
265,1961-09-23,0.0,34.7,28.7,21.8,33.25,28.0,
266,1961-09-24,0.0,35.7,28.14,23.0,35.25,24.0,
267,1961-09-25,0.0,35.5,28.46,23.4,32.0,22.0,
268,1961-09-26,0.0,35.3,27.74,23.0,31.0,22.0,
269,1961-09-27,0.0,35.9,27.74,23.4,33.0,23.0,
270,1961-09-28,0.0,36.9,28.06,22.6,35.0,23.0,
271,1961-09-29,0.0,37.9,29.34,23.0,35.75,26.0,
272,1961-09-30,0.0,36.9,30.02,23.0,40.25,31.0,
273,1961-10-01,0.0,36.1,28.34,20.0,45.0,31.0,
274,1961-10-02,0.0,34.5,27.94,21.2,40.5,32.0,
275,1961-10-03,0.0,35.9,29.34,22.2,42.0,33.0,
276,1961-10-04,0.0,33.5,27.02,22.2,41.0,31.0,
277,1961-10-05,0.0,34.5,26.58,20.0,41.25,29.0,
278,1961-10-06,0.0,35.3,27.54,22.8,40.0,28.0,
279,1961-10-07,0.0,34.1,27.3,22.0,42.25,29.0,
280,1961-10-08,0.0,35.3,27.78,20.2,40.5,30.0,
281,1961-10-09,0.0,35.3,27.82,21.8,40.5,30.0,
282,1961-10-10,,35.7,25.62,19.4,58.5,32.0,
283,1961-10-11,5.6,27.9,23.22,18.6,79.25,64.0,
284,1961-10-12,22.2,25.5,21.58,18.0,85.5,73.0,
285,1961-10-13,5.0,29.1,23.06,18.4,68.75,53.0,
286,1961-10-14,0.0,34.5,26.74,19.8,49.75,36.0,
287,1961-10-15,0.0,34.7,27.78,20.0,47.0,34.0,
288,1961-10-16,0.0,34.9,28.06,21.6,46.0,35.0,
289,1961-10-17,0.0,34.9,27.42,21.8,44.75,34.0,
290,1961-10-18,0.0,36.1,28.1,21.4,41.75,28.0,
291,1961-10-19,0.0,35.1,28.94,23.0,38.25,29.0,
292,1961-10-20,0.0,34.3,28.14,21.4,46.75,37.0,
293,1961-10-21,0.0,33.7,26.66,22.0,47.75,39.0,
294,1961-10-22,0.0,34.9,26.7,20.8,38.0,27.0,
295,1961-10-23,0.0,34.1,26.74,20.2,43.25,31.0,
296,1961-10-24,0.0,34.7,27.82,21.4,43.25,32.0,
297,1961-10-25,0.0,37.3,28.62,22.2,46.25,33.0,
298,1961-10-26,0.0,37.1,29.42,24.6,48.5,36.0,
299,1961-10-27,6.7,28.1,23.86,20.2,74.5,59.0,
300,1961-10-28,0.0,31.4,24.28,19.8,74.0,51.0,
301,1961-10-29,5.5,31.1,26.02,19.8,60.25,50.0,
302,1961-10-30,0.0,31.5,26.5,23.4,58.25,44.0,
303,1961-10-31,0.0,32.1,26.62,23.0,46.75,38.0,
304,1961-11-01,0.0,33.7,27.94,22.8,45.5,34.0,
305,1961-11-02,0.0,35.1,27.82,22.6,46.75,34.0,
306,1961-11-03,0.0,35.9,27.82,23.0,49.5,35.0,
307,1961-11-04,0.0,34.3,25.74,20.4,45.75,37.0,
308,1961-11-05,10.3,30.9,24.38,19.2,72.0,50.0,
309,1961-11-06,0.0,29.9,24.62,20.6,77.75,67.0,
310,1961-11-07,0.0,30.9,25.3,19.8,71.25,67.0,
311,1961-11-08,3.0,31.9,23.5,19.2,83.25,62.0,
312,1961-11-09,12.6,32.5,24.74,18.4,71.5,52.0,
313,1961-11-10,0.6,33.3,27.74,21.0,52.5,40.0,
314,1961-11-11,1.0,34.9,27.14,20.8,52.25,39.0,
315,1961-11-12,0.0,32.7,25.7,19.0,69.5,57.0,
316,1961-11-13,7.8,32.5,25.26,20.0,69.75,55.0,
317,1961-11-14,1.9,31.5,25.42,18.2,69.75,64.0,
318,1961-11-15,0.0,33.1,26.58,19.0,63.75,50.0,
319,1961-11-16,0.0,33.9,26.54,20.4,62.0,44.0,
320,1961-11-17,0.0,34.7,26.86,20.2,39.75,30.0,
321,1961-11-18,0.0,34.1,26.1,21.0,41.5,29.0,
322,1961-11-19,0.0,34.9,26.34,19.8,40.5,24.0,
323,1961-11-20,0.0,35.3,26.98,21.0,37.25,24.0,
324,1961-11-21,0.0,35.1,28.02,22.8,40.25,29.0,
325,1961-11-22,0.0,34.9,28.06,21.6,48.5,36.0,
326,1961-11-23,0.0,35.3,27.98,21.2,52.0,39.0,
327,1961-11-24,0.0,37.7,28.7,20.8,57.5,36.0,
328,1961-11-25,0.0,35.7,26.46,20.4,60.5,42.0,
329,1961-11-26,8.0,34.1,25.98,19.4,61.25,43.0,
330,1961-11-27,0.0,36.1,27.14,20.2,55.0,33.0,
331,1961-11-28,0.0,36.3,28.22,21.2,42.75,28.0,
332,1961-11-29,0.0,36.7,29.14,24.6,56.25,39.0,
333,1961-11-30,0.0,32.7,24.26,20.2,74.0,52.0,
334,1961-12-01,,,,,,83.0,
335,1961-12-02,,,,,,,
336,1961-12-03,,,,,,,
337,1961-12-04,,,,,,,
338,1961-12-05,,,,,,,
339,1961-12-06,,,,,,,
340,1961-12-07,,,,,,,
341,1961-12-08,,,,,,,
342,1961-12-09,,,,,,,
343,1961-12-10,,,,,,,
344,1961-12-11,,,,,,,
345,1961-12-12,,,,,,,
346,1961-12-13,,,,,,,
347,1961-12-14,,,,,,,
348,1961-12-15,,,,,,,
349,1961-12-16,,,,,,,
350,1961-12-17,,,,,,,
351,1961-12-18,,,,,,,
352,1961-12-19,,,,,,,
353,1961-12-20,,,,,,,
354,1961-12-21,,,,,,,
355,1961-12-22,,,,,,,
356,1961-12-23,,,,,,,
357,1961-12-24,,,,,,,
358,1961-12-25,,,,,,,
359,1961-12-26,,,,,,,
360,1961-12-27,,,,,,,
361,1961-12-28,,,,,,,
362,1961-12-29,,,,,,,
363,1961-12-30,,,,,,,
364,1961-12-31,,,,,,,
365,1962-01-01,,30.1,23.58,18.0,75.25,60.0,
366,1962-01-02,0.0,31.9,25.02,20.0,74.25,57.0,
367,1962-01-03,15.8,32.3,24.7,19.8,79.75,60.0,
368,1962-01-04,0.0,28.5,23.9,19.8,80.5,67.0,
369,1962-01-05,0.0,29.9,24.9,20.0,78.75,70.0,
370,1962-01-06,0.4,27.5,23.18,19.8,88.0,81.0,
371,1962-01-07,2.3,31.1,23.74,18.4,78.75,62.0,
372,1962-01-08,0.0,29.1,24.22,19.0,75.0,64.0,
373,1962-01-09,5.8,29.5,24.18,19.8,81.0,62.0,
374,1962-01-10,0.0,31.1,24.3,20.2,83.0,74.0,
375,1962-01-11,8.0,28.7,23.34,19.8,86.5,82.0,
376,1962-01-12,3.0,29.5,23.3,18.8,80.5,63.0,
377,1962-01-13,0.0,31.9,24.94,18.6,73.75,58.0,
378,1962-01-14,0.9,26.9,22.9,20.0,90.5,83.0,
379,1962-01-15,10.0,28.9,24.38,20.0,81.75,74.0,
380,1962-01-16,2.2,31.3,24.38,20.2,78.0,61.0,
381,1962-01-17,28.5,30.1,23.54,18.4,81.25,61.0,
382,1962-01-18,5.1,28.9,23.94,18.2,81.5,73.0,
383,1962-01-19,0.7,31.5,24.98,20.2,76.75,63.0,
384,1962-01-20,3.7,32.3,25.18,19.4,77.25,60.0,
385,1962-01-21,19.2,29.9,23.42,19.8,85.25,69.0,
386,1962-01-22,0.0,30.3,23.94,19.8,87.75,80.0,
387,1962-01-23,25.1,31.1,24.46,19.0,80.25,62.0,
388,1962-01-24,4.3,28.1,23.18,19.4,85.25,77.0,
389,1962-01-25,3.3,29.7,24.18,19.0,85.75,74.0,
390,1962-01-26,24.1,30.1,24.54,18.2,79.75,67.0,
391,1962-01-27,0.4,29.3,23.26,18.4,74.25,62.0,
392,1962-01-28,0.0,30.9,24.86,19.0,76.5,64.0,
393,1962-01-29,0.0,31.7,25.18,21.0,79.0,62.0,
394,1962-01-30,39.0,25.1,21.46,19.2,91.0,79.0,
395,1962-01-31,16.0,27.5,22.86,19.0,88.25,77.0,
396,1962-02-01,4.0,30.5,23.9,19.0,80.5,64.0,
397,1962-02-02,26.5,27.5,22.78,19.8,87.5,76.0,
398,1962-02-03,23.9,29.9,24.22,20.0,80.5,60.0,
399,1962-02-04,0.0,32.7,25.74,20.0,74.5,57.0,
400,1962-02-05,0.0,32.1,24.5,19.4,85.5,74.0,
401,1962-02-06,0.8,30.7,24.38,18.4,81.0,75.0,
402,1962-02-07,1.7,31.5,25.38,20.0,73.5,64.0,
403,1962-02-08,17.5,30.7,24.38,18.6,82.0,68.0,
404,1962-02-09,16.0,31.3,24.58,19.4,75.0,65.0,
405,1962-02-10,2.4,31.1,24.5,18.6,71.25,59.0,
406,1962-02-11,0.5,30.9,23.5,19.2,84.75,74.0,
407,1962-02-12,39.2,30.9,24.1,17.8,84.25,73.0,
408,1962-02-13,0.0,32.5,25.22,19.0,75.75,61.0,
409,1962-02-14,1.0,31.1,24.18,19.4,85.5,75.0,
410,1962-02-15,13.4,28.3,24.02,20.0,87.0,75.0,
411,1962-02-16,0.0,31.5,24.46,20.2,83.75,73.0,
412,1962-02-17,0.5,32.9,25.62,18.8,72.75,56.0,
413,1962-02-18,0.0,32.1,24.58,20.4,80.25,56.0,
414,1962-02-19,14.5,31.5,24.62,19.4,85.25,78.0,
415,1962-02-20,4.1,28.5,24.46,19.4,82.75,74.0,
416,1962-02-21,30.0,32.1,25.06,20.0,77.25,61.0,
